eventType,player,startX,startY,endX,endY,time,outcome,possession,bodypart
Clearance,Noah,80.75833333333333,16.5,68.84166666666667,18.1875,96.37,Unsuccessful,,Head
Pass,Kalen,54.34973958333333,75.1875,42.06640625,68.8125,129.15,Unsuccessful,Throw-in,
Pass,Kalen,54.5703125,65.0625,47.78697916666667,66.75,132.75,Success,,
Pass,Erion,48.15364583333333,69.75,46.8703125,72.375,134.50,Unsuccessful,,
Pass,Ash,45.403645833333336,71.4375,47.053645833333334,69.5625,134.72,Success,,
Pass,Erion,48.723697916666666,69,47.80703125,64.875,136.37,Unsuccessful,,
Pass,Luch,49.64036458333334,66.9375,47.99036458333333,50.25,139.51,Success,,
Pass,Christian,48.44869791666667,52.3125,63.11536458333333,34.5,141.72,Success,,
Pass,Mathias,63.381770833333334,35.0625,52.198437500000004,0.1875,143.78,Unsuccessful,,
Tackle,Noah,70.71510416666666,1.6875,,,178.75,Success,,
Pass,Alex,80.9015625,1.875,68.06822916666667,5.625,181.38,Success,,
Pass,Christian,68.43489583333334,5.4375,72.46822916666667,1.125,182.29,Success,,
Error,Noah,70.81822916666667,1.5,,,183.18,,,
Clearance,Mathias,84.38489583333333,2.0625,60.91822916666667,19.6875,188.10,,,
Clearance,Mathias,83.1015625,10.500000000000002,60.73489583333333,14.625,191.49,,,Head
Tackle,Ash,83.95234375,43.875,,,198.45,Unsuccessful,,
Pass,Peter,99.71901041666666,44.25,100.08567708333334,61.12499999999999,214.46,Success,,
Pass,Kalen,70.00755208333334,57,13.540885416666667,63.9375,224.46,Unsuccessful,,
Pass,Kalen,20.140885416666666,75.37499999999999,28.20755208333333,66.9375,245.94,Success,Throw-in,
Pass,Luch,27.239322916666666,65.0625,20.27265625,70.875,247.30,Success,,
Pass,Kalen,20.639322916666664,70.5,20.455989583333334,68.8125,248.20,Unsuccessful,,
Tackle,Azim,45.38932291666667,72.75,,,253.41,Success,,
Pass,Luch,39.522656250000004,72.375,43.37265625,70.6875,257.11,Success,,
Pass,Kalen,38.42265625,61.875,42.455989583333334,28.6875,259.59,Unsuccessful,,
Pass,Mathias,78.02265625000001,1.125,61.33932291666667,5.0625,293.70,Success,Throw-in,
Tackle,Noah,64.82265625000001,5.625,,,295.68,Unsuccessful,,
Tackle,Luch,66.47265625,3,,,298.18,Success,,
Tackle,Noah,78.02265625000001,1.5,,,308.73,Success,,
Pass,Mathias,78.75598958333333,1.3125000000000002,60.239322916666666,0.5625,323.65,Unsuccessful,Throw-in,
Tackle,Ash,71.23932291666667,59.625,Unsuccessful,,334.20,Success,,
Pass,Peter,91.03932291666666,33,45.02265625,27.5625,377.61,Success,,
Pass,Erion,45.205989583333334,28.875,33.47265625,27.5625,378.81,Success,,Head
Error,Christian,30.53932291666667,26.8125,,,378.95,,,
Clearance,Mathias,39.889322916666664,3.75,27.972656249999996,6.375000000000001,405.12,,,
Pass,Noah,27.605989583333333,8.0625,20.089322916666667,2.0625,407.24,Success,,